QuestionPairID,question1,question2
69,ما أضرار تناول البقدونس بكميات كبيرة جداً؟,ما أضرار تناول النعناع بكميات كبيرة؟
70,طريقة تحضير اصابع زينب بجوز الهند؟,من طرق تحضير اصابع زينب بجوز الهند؟
71,لماذا تعد الضفادع من ذوات الدم البارد؟,هل الضفادع لديها جهاز تنفسي؟
72,ما مجالات عمل الصيدلي في المستشفى ؟,من هو الصيدلي ؟
73,وسائل تساعد على تطوير العمل التطوعي؟,ما وسائل تعزيز العمل التطزعي ؟
74,ما هي مساحة الوطن العربي؟,ما عدد سكان الوطن العربي؟
75,ما هي الأسباب التي تدفعنا لاستخدام الحاسوب؟,من اخترع أول حاسوب؟
76,ما اسم عاصمة جزر ماديرا التابعة للبرتغال؟,ما هي عاصمة جزر الكناري؟
77,بماذا تتميز هواتف النوكيا عن غيرها من الهواتف؟,من أخترع هاتف النوكيا؟
78,ما هي مكونات تقنية المعلومات؟,مم تتكون تقنية المعلومات؟
79,في أي قارة تقع نيوزلندا؟,ما هي مساحة الجزيرة الشمالية النيوزلندية؟
80,ما هي عاصمة رواندا؟,ما عاصمة رواندا؟
81,ما هي طريقة عمل أي ماسك للبشرة؟,ما هي الخطوات اللازمة لعمل قناع للوجه؟
82,ما عدد السكان الإجمالي لأبو ظبي؟,ما هي مساحة أبو ظبي؟
83,ما هو الطقس السائد في جزيرة الأمير إدوارد؟,ما هو الطقس السائد في ساسكاتشوان؟
84,ما اسم أكبر تمثال في العالم؟,كم يصل ارتفاه الأهرامات؟
85,ما هو الدجاج الامريكي؟,ما تعريف الدواجن ؟
86,ما طريقة تحضير الجريش بالدجاج ؟,من طرق تحضير الجريش؟
87,ما أٌقدم كاتدرائية روسية؟,ما هي نسبة السكان الروس الأصليون في روسيا؟
88,ما اهمية الانتاج ؟,ماذا نقصد بالانتاج ؟
89,ما طريقة تحضير كعب الغزال باللوز؟,من طرق تحضير الغزال؟
90,ما تعريف الصوم شرعاً؟,ما تعريف الصلاة شرعاً؟
91,ماذا نقصد بالرأسماليّة الاقطاعية؟,ما تعريف الرأسماليّة الاقطاعية؟
92,كم المدة بين غزوة بني سليم وغزوة بدر؟,كم كانت المدة بين غزوتي بدر وأحد؟
93,ما هو موقع مقدونيا في قارة أوروبا؟,أين توجد النرويج في قارة أوروبا؟
94,كيف تؤثر القهوة على الكالسيوم في الجسم؟,ما علاقة الكالسيوم بالحليب؟
95,من هو قائل قصيدة أبيت أرمد ما لم اكتحل بكم؟,من صاحب قصيدة أبيت أرمد ما لم اكتحل بكم؟
96,في أي سنة ظهرت أول صورة بالألوان؟,ما هي الصورة الملونة؟
97,ما مبدأ عمل بطاقة الماستر كارد؟,كيف تعمل بطاقة الماستر كارد؟
98,ما هو القرض المضمون  ؟,من انواع القروض ؟
99,ما هي الهجرة الخارجية؟,ما هي الهجرة ؟
100,ما أهمية صور السيلفي؟,من اخترع صور السيلفي؟
101,ما مساحة نيوزلندا الجغرافية؟,ما نسبة الجبال الموجودة في نيوزلندا؟
102,متى اكتشف الصينيون وجود قارة أستراليا؟,متى تم اكتشاف قارة أستراليا من قبل الصينيون؟
103,كيف احضر شوربة الكريمة بالمشروم؟,من طرق تحضير شوربة الكريمة ؟
104,ما السبب في تفضيل التابلت عن غيره من الاجهزة؟,ما هو التابلت؟
105,من طرق تحضير كيكة بسكويت الزّبدة؟,من طرق تحضير  بسكويت الزّبدة؟
106,ما طريقة تحضير الزغاليل ؟,من طرق تحضير الزغاليل المسلوقة؟
107,كيف احضر حلى قهوة القشطة والبسكويت؟,من طرق تحضير القشطة؟
108,ما هي طريقة تحضير شوربة العدس المجروش بالخضار؟,من طرق تحضير العدس؟
109,ما هي مراحل صناعة الذهب ؟,ما هو الذهب؟
110,من الذي اخترع الفيس بوك؟,كيف أعمل تسجيل خروج من الفيس بوك؟
111,ما هو معدل البطالة ؟,ما هي البطالة ؟
112,ما عاصمة نيوزلندا الرسمية؟,ما موقع نيوزلندا الجغرافي؟
113,متى تم تشييد متحف الأرميتاج؟,في أي عام بني متحف الأرميتاج؟
114,ما اسم عاصمة سويسرا؟,ما اسم عاصمة السويد؟
115,هل يفرق تمرين الضغط بذراعين متباعدتين عن تمرين الضغط العادي؟,ما الفرق بين تمرين الوقوف على اليدين وتمرين المثلث؟
116,ما هو النظام الحاكم في روسيا؟,ما الاسم السياسي الذي يطلق لسنغافورة؟
117,متى أسست صالة التزلج الكويتية؟,ما لون رمال شاطئ المسيلة؟
118,ما هو أجمل وقت لقضاء الوقت في جزيرة المالديف؟,ما هي أفضل فترة للذهاب إلى المالديف؟
119,على ماذا يعتمد حجم التابلت؟,ما هو حجم التابلت؟
120,لماذا نصاب بفيروس سي؟,ما هي اسباب الاصابة بفيروس بي؟
121,ما ارتفاع هضبة النجود في الجزائر؟,ما هو الأطلس الصحراوي؟
122,كم تبلغ نسبة انتشار المسيحية في جزيرة فيجي؟,كم تبلغ نسبة انتشار الإسلام في جزيرة فيجي؟
123,ما هو احدث مصدر للحصول على المعلومات؟,من مصادر المعلومات ؟
124,ما نسبة اليهود في الصين؟,كم تبلغ نسبة معتنقي الهندوسية في الصين؟
125,كيف يعتبر المناخ العام في فصل الصيف للأردن؟,كيف هي حالة الطقس في العقبة صيفاً؟
126,ما مطلع  قصيدة أضحى فؤادك يا وليد عميدا؟,من مؤلف قصيدة أضحى فؤادك يا وليد عميدا؟
127,ما هي نسبة المسلمن في روسيا؟,ما هي أكبر مدينة في روسا؟
128,بماذا يتميز الفازلين؟,ما هي استخدامات الفازلين المنزلية؟
129,ما هي مساحة بيروت؟,أين تقع بيروت؟
130,كم النسبة التي أحتاجها من البروتين للعب كمال الأجسام؟,ما هي النسبة التي يحتاجها لاعب كمال الأجسام من البروتين؟
131,متى بنيت حديقة والت ديزني؟,في أي عام بنيت حديقة والت ديزني؟
132,ماذا نقصد بالهاشتاج؟,كيف أعمل هاشتاج؟
133,ما هي أكبر مدينة في الكويت؟,ما هي مساحة الكويت؟
134,كم تبلغ مساحة اليونان؟,ما هي مساحة اليونان الإجمالية؟
135,ما هي عاصمة فنلندا؟,ما اسم عاصمة فنلندا؟
136,من طُرق المُحافظة على الرّاتب الشهريّ؟,من الطُّرق التي تُساعد في المحافظة على الرّاتب الشهريّ؟
137,أين يوجد برج ايفيل؟,على ماذا يحتوي متحف اللوفر؟
138,ما اسم سكان أمريكا الحقيقيون؟,ما عدد ولايات أمريكا؟
139,هل يوجد حلول يدوية لتعديل شاشة الكمبيوتر المقلوبة؟,ما هي الحلول اليدوية لتعديل شاشة الكمبيوتر المقلوبة؟
140,ما هي فوائد البيض الصحية؟,ما فوائد البيض للبشرة؟
141,ما طريقة تحضير كيك القرفة  لمرضى السكر ؟,كيف احضر كيك القرفة  لمرضى السكر؟
142,ما هي طريقة تقوية عضلات الذراعين؟,كيف أقوي عضلات اليدين والكتفين؟
143,كيف نعالج نقص فيتامين د؟,بماذا نعالج نقص فيتامين د؟
144,من خطوات صناعة الفخار ؟,ماذا نقصد بالفخار ؟
145,كم عام استمرت حرب داحس والغبراء؟,ما هي حرب داحس والغبراء؟
146,ما اسم عاصمة ألبانيا؟,ما اسم عاصمة لوكسمبورغ؟
147,ما طريقة تحضير الطحال مع النكهات ؟,من طرق تحضير الطحال؟
148,ما هي نسبة السكان ذوي الديانات الشعبية؟,كم تبلغ نسبة معتنقي الديانات الشعبية في الصين؟
149,في أي مكان يعيش الضفدع؟,في أي المناطق يمكث الضفدع؟
150,كيف يعالج فقدان الوعي؟,كيف يعالج فقدان الحنان؟
151,ما سبب تسمية جزيرة أنجوان بالجزيرة المعطرة؟,من هي الجزيرة المعطرة في جزر القمر؟
152,من هي الشركة التي قامت بشراء شركة نوكيا في عام 2013؟,متى صدر أول هاتف نوكيا؟
153,ما هي قصيدة غرتني بجيش من محاسن وجهها؟,ما مطلع قصيدة غرتني بجيش من محاسن وجهها؟
154,ما هو  الخطاب الإشهاري؟,ماذا نقصد   بالخطاب الإشهاري؟
155,ماذا يعني  الـ URL؟,ما هو عنوان الـ URL؟
156,كيف احضر حلى قهوة بالتمر؟,من طرق تحضير  حلى قهوة بالتمر؟
157,من طرق تحضير سلطة البروكلي؟,من طرق تحضير  البروكلي؟
158,كيف اعالج تقشر جلد الأصابع؟,ما هو علاج تقشر جلد الأصابع؟
159,متى احلتت القوات الإيطالية ليبيا؟,متى تم احتلال ليبيا من قبل القوات الإيطالية؟
160,هل أضاف الإنترنت فائدة للتعليم؟,من أخترع الحاسوب؟
161,ما هي الهوامش ؟,ما تعريف الهوامش ؟
162,ماذا يعمل برلمان نيوزلندا؟,ما هي وظيفة البرلمان النيوزلندي؟
163,ما هي عملة الصومال؟,ما هي العملة ؟
164,من اقسام الدواجن ؟,ما هي الدواجن ؟
165,كيف احضر محشي الجزر الأحمر بالشمندر؟,من طرق تحضير محشي الجزر الأحمر  ؟
166,ما سبب تسمية الجزائر؟,متى تبلغ درجات الصيف ذروتها في الجزائر؟
167,ما هي طرق الحصول على بشرة صافية؟,كيف أعرف لون بشرتي؟
168,إلى أين وصلت المخترعات في وقتنا هذا؟,كيف أثرت المخترعات على الحياة؟
169,ما طريقة اختيار اسم تجاري؟,ما هي الاسماء التجارية؟
170,ما وظيفة البطين في قلب الضفدع؟,ما أهمية الضخ الدموي عند الضفدع؟
171,ما اهمية القمر الصناعي ؟,من اهمية القمر الصناعي ؟
172,ما هي لغة التبت الرسمية؟,ما اسم اللغة الرسمية لمنطقو سنجان؟
173,ما هي اسباب هبوط ضغط الدم؟,ما هي اسباب ضغط الدم المنخفض؟
174,كيف تصنع النقود المعدنية؟,ما هو المال ؟
175,بماذا يقوم الجهاز القضائي بالمملكة الأردنية؟,بماذا يساهم الجهاز القضائي في الأردن؟
176,ما هي عشبة البقدونس؟,هل يعتبر البقدونس من الأعشاب؟
177,كيفية التّعامل مع ذوي الاحتياجات الخاصة؟,ماذا نعني بذوو الاحتياجات الخاصّة؟
178,كيف تؤدى صلاة الحاجة؟,كيف أصلي صلاة الحاجة؟
179,ما هي فوائد ماء البحر للجسم؟,ما هي المعادن الموجودة في املاح البحر؟
180,ما هي العاصمة الرسمية لبلجيكيا؟,كم عدد سكان بلجيكيا؟
181,من نصائح  التسوق عبر الإنترنت؟,ما نصائح التسوق على الانترنت ؟
182,ما هي قصيدة بائع الموت؟,من قائل قصيدة بائع الموت؟
183,ما عدد سكان الوطن العربي الإجمالي؟,ما مساحة الوطن العربي؟
184,ما المقصود بقوة اللغة ؟,ما هي اللغة ؟
185,ما أشهر ديوان شعري لأحمد شوقي؟,ما أجمل قصائد احمد شوقي؟
186,كيف ظهر الاقتصاد ؟,ماذا نقصد بالاقتصاد ؟
187,كيف يتم علاج نقص فيتامين ب12؟,ما هو علاج نقص فيتامين ب2؟
188,ما هي مهمة محلل أنظمة المعلومات؟,ما هي أنظمة المعلومات؟
189,ما هي أهم النصائح للتعامل مع الكمبيوتر؟,ما النصائح التي تجنبنا مشاكل الكمبيوتر؟
190,كيف احضر البيتي فور؟,من طرق تحضير البيتي فور؟
191,من طرق تحضير   كيكة البستا فلورا ؟,من طرق تحضير  طريقة إعداد الكيك؟
192,ما هي نسبة الأيطالييون في أستراليا؟,ما نسبة الأيطالييون الموجودين في أستراليا؟
193,طرق تحضير  كرات التمر بالدايجيستف والهيل؟,طرق تحضير  كرات التمر بالمكسرات؟
194,أين توجد ساحة جامع الفنا؟,في أي مدينة توجد ساحة جامع الفنا؟
195,ما معنى الهوية العمرية؟,ما هي الهوية العمرية؟
196,لماذا سميت قارة آسيا بهذا الاسم؟,ما سبب تسمية قارة آسيا؟
197,ما هو ملخص المراسلات الادارية ؟,ما هي المراسلات الادارية ؟
198,ما عاصمة المغرب؟,كم مساحة المغرب العربي؟
199,متى ظهرت أول آلة تصوير؟,كيف تم اختراع آلة التصوير؟
200,كيف احضر معكرونة لسان العصفور؟,من طرق تحضير لسان العصفور؟
201,على ماذا كانوا يعتمدون قديما في التنقل؟,ما هو  أنواع وسائل النقل؟
202,كم طابق يوجد في برج خليفة؟,ماذا يوجد داخل برج خليفة؟
203,ما هي  قصيدة سألتها الوصل قالت لا تغر بنا؟,ما مطلع  قصيدة سألتها الوصل قالت لا تغر بنا؟
204,كم بلغ ناتج الصين المحلي في عام 2015؟,ما هو ناتج جمهورية الصين المحلي عام 2015؟
205,ما الطريقة التي تحمي بها الضفادع بيوضها؟,كيف تميز أنثى الضفدع صوت الذكر؟
206,ما هي عملة جزر القمر الرسمية؟,ما عملة جزر القمر؟
207,متى وصل المستوطنون الأوائل إلى جزيرة فيجي؟,من اسم مكتشف جزيرة فيجي؟
208,كم عدد الدولة في قارة أوروبا؟,كم دولة يوجد في قارة آسيا؟
209,كيف احضر الدجاج الصيني بالخضار؟,من طرق تحضير الدجاج؟
210,كيف بدأ المسار الأدبي عند توفيق الحكيم؟,أين تلقى توفيق الحكيم تعليمه المدرسي والجامعي؟
211,ما طريقة تحضير كيكة الجزر بالزبادي ؟,من طرق تحضير كيكة الجزر بالزبادي؟
212,ما طريقة تحضير غراتان الخضراوات؟,من طرق تحضير الخضراوات؟
213,ما طريقة تحضير الكلاوي بالفلفل الرومي؟,من طرق تحضير الكلاوي بالفلفل الحار؟
214,ماذا نقصد باليورو ؟,ما هي قيمة اليورو؟
215,هل هناك سلبيات للتابلت؟,بماذا تمتاز ذاكرة التابلت؟
216,كم يبلغ طول برج خليفة؟,في أي مدينة إماراتية يوجد برج خليفة؟
217,من طرق تحضير  مربعات الكراميل ؟,من طرق تحضير  الكراميل؟
218,ما هي قصيدة أجمل حب؟,من هو الشاعر الذي تميز بقصائد الحب؟
219,كيف احضر سلطة الكينوا والكوسا؟,من طرق تحضير سلطة الكينوا والكوسا؟
220,من رد على الطبيب جالينوس في كتاب؟,من هو جالينيوس؟
221,كيف يمكن تغيير التاريخ والوقت في نظام ويندوز 7؟,ما هو ويندوز 7؟
222,ما هو العجز؟,ما تعريف العجز؟
223,ماذا نقصد بالحرية الفردية ؟,ما هي الحرية ؟
224,أين ولد أبو بكر الزاي؟,في اي مدينة ولد الرازي؟
225,ما أهمية تكنولوجيا التعليم؟,كيف نستفيد من التكنولوجيا في التعليم المدرسي؟
226,كم تبلغ نسبة الإناث المتعلمات في الصين؟,ما هي المتعلمات الإناث في الصين؟
227,ما فائدة الجدوى الاقتصادية؟,ما هي دراسة الجدوى ؟
228,ما هي الأطعمة الغنية بالحديد؟,ما هي مصادر الحديد الغذائية؟
229,ما تعريف مقابلة العمل ؟,ما المقصود بمقابلة العمل ؟
230,ما هي اعراض نقص فيتامين ب12؟,ما هي اعراض نقص فيتامين ب2؟
231,من انواع الخلايا الشمسية ؟,ما هي الالواح الشمسية ؟
232,ما هي أسرع خلطة لتطويل الشعر؟,كيف أزيد من طول شعري؟
233,ما هو نظام التشغيل المستخدم في التابلت؟,كيف أختار التابلت المناسب؟
234,في أي سنة وقعت غزوة بواط؟,في أي عام وقعت غزوة الخندق؟
235,ما طريقة تحضير بيتزا التونة بالتوست ؟,من طرق تحضير بيتزا التونة بالتوست؟
236,في أي سنة غزا النبي غزوة السويق؟,في أي شهر وقعت غزوة السويق؟
237,ما طريقة تحضير حلاوة جكليتيه توفي؟,من طرق تحضير  حلاوة جكليتيه توفي؟
238,ما طريقة تحضير كيكة التمر بالتوفي ؟,من طرق تحضير كيكة التمر بالتوفي؟
239,ما طريقة تحضير أرنب محمّر ؟,من طرق تحضير أرنب مسلوق؟
240,كيف أستخدم البرتقال لتفتيح البشرة؟,كيف أستخدم ماسك البرتقال لتفتيح بشرتي؟
241,ما طريقة تحضير بقسماط القرشلة  ؟,كيف احضر بقسماط القرشلة ؟
242,ما هي أهم أعمال احمد شوقي في مجال الرواية والمسرحية؟,ما هي مؤلفات أحمد شوقي في مجال الرواية والمسرحية؟
243,ما عدد السكان في جزيرة الأمير إدوارد؟,ما عدد سكان ولاية ساسكاتشوان؟
244,ما أهمية التكنولوجيا في مجال التعليم؟,ماهي تكنولوجيا التعليم؟
245,ما طريقة تحضير  اليقطين بالطحينية ؟,من طرق تحضير  اليقطين ؟
246,من طرق تحضير أرنب مسلوق؟,من طرق تحضير دجاج مسلوق؟
247,هل قام أبو نواس بجمع ديوانه الشعري؟,ما هي أجمل قصيدة قالها أبو نواس؟
248,ما اسم عاصمة نيوزلندا؟,ما موقع نيوزلندا الجغرافي؟
249,ما تاريخ استقلال نيجيريا؟,ماذا يحد نيجيريا من الشمال؟
250,في أي سنة غزا النبي غزوة السويق؟,متى كانت غزوة السويق؟
251,ما حكم الجماع أثناء الصيام؟,ما هو حكم جماع الصائم؟
252,ما موقع البوسنة والهرسك في قارة أوروبا؟,أين تقع بلجيكيا في قارة أوروبا؟
253,ما عاصمة جمهورية أفريقيا الوسطى؟,ما عاصمة الكاميرون؟
254,ما هي ثاني أصغر قارة في العالم؟,ما اسم أكبر قارة في العالم؟
255,ماذا يأكل أبو ذنيبة؟,ما أهمية غذاء الضفادع؟
256,هل ثبت حديث صلاة الحاجة؟,هل ثبت حديث صلاة العيد؟
257,ما سبب تسمية البحر الميت؟,ما الطبق الرئيسي في الأردن؟
258,ماذا نقصد بنموذج الانتاج ؟,ما هو نموذج الانتاج ؟
259,ما طريقة تحضير حلى الشعريّة الباكستانية؟,كيف احضر حلى الشعريّة الباكستانية؟
260,بماذا كان يُعرف شعر عبيد بن الأبرص؟,بأي قبيلة كان يعيش عبيد بن الأبرص
261,من مميزات الفخار ؟,ماذا نقصد بالفخار ؟
262,متى احتلت فرنسا جزر القمر بشكل كامل؟,متى تم إنشاء مجلس وزراء حكومي لجزر القمر؟
263,كيف احضر حلى الأناناس والكريم كراميل؟,من طرق تحضير جلو الأناناس  ؟
264,كيف يمكن مسح سجل البحث في موقع جوجل؟,ما هو موقع جوجل؟
265,كيف أقوي عضلات اليدين والكتفين؟,كيف أقوي عضلات الصدر؟
266,كم يبلغ عدد السكان في أستراليا؟,ما الديانة الرسمية في أستراليا؟
267,ما مطلع  قصيدة أما انت عن ذكراك ميّة مقصر؟,من مؤلف قصيدة أما انت عن ذكراك ميّة مقصر؟
268,ما طريقة تحضير كريم كراميل بالشعيرية؟,من طرق تحضير الشعيرية؟
269,كيف احضر زهرة بالطحينية؟,من طرق تحضير زهرة  باللبن؟
270,ما هي مهام مدير شؤون الموظفين؟,ما هي وظيفة مدير شؤون الموظفين ؟
271,هل أثرت المنطقة التي سكن بها محفوظ على حياته الروائية؟,من هو نجيب محفوظ؟
272,في أي سنة اخترع الهاتف الأرضي؟,ما هو الهاتف الأرضي؟
273,كم مرة يجب أن أكرر تمارين الضغط؟,ما هي تمارين الضغط؟
274,ما هي ثاني أكبر قارة بالعالم؟,ما هي اللغة الأكثر شيوعاً في قارة آسيا؟
275,من اهداف الصيدلة ؟,من اغراض الصيدلة ؟
276,من هو سكان هايتي؟,ما عدد سكلن جزيرة هايتي؟
277,تعتبر الإرادة والعزيمة صفة للشخصية القوية، كيف يكون ذلك؟,ما هي الإرادة والعزيمة؟
278,ماذا يقصد  برمز الهاتف المتسلسل؟,كم رقم تسلسلي لكل هاتف؟
279,ما هي عاصمة مقدونيا؟,ما اسم عاصمة النرويج؟
280,أين توجد جبال سينترا؟,أين توجد بلدة آيفورا؟
281,كم يصل عدد سكان الفاتيكان؟,كم يبغ عدد السكان في المملكة المتحدة؟
282,ماذا حدث للأردن في عام 1946؟,ماذا يحد الأردن من الشمال؟
283,أين يتم  تخزين الصور في آلة التصوير؟,ما هي آلة التصوير؟
284,ما هي أنواع التأمين ؟,ما هو التأمين ؟
285,لماذا يختلف سعر التابلت من جهاز لآخر؟,ما هو أفضل جهاز تابلت؟
286,ما الحالات التي نصلي فيها الاستخارة؟,كيف نصلي الاستخارة؟
287,أين تقع جزيرة جامايكا؟,أين توجد جزيرة جامايكا؟
288,متى تم اصدار الدستور المغربي الأول؟,ما هو نظام الحكم في المغرب العربي؟
289,متى كانت اول خلية شمسية ؟,ما هي انواع الخلايا الشمسية؟
290,من طرق تحضير  قلاية البندوة بالثوم ؟,من طرق تحضير  قلاية البندوة  ؟
291,ما الإسم الحقيقي لتاج محل؟,إلى ماذا يعود سبب بناء ضريح تاج محل؟
292,ما عدد مستخدمي تويتر لغاية 2016؟,ما هو تويتر؟
293,ما هو جوجل بلاي؟,ما المقصود بجوجل بلاي؟
294,ما طريقة تحضير كعكة اللوتس ؟,كيف احضر كعكة اللوتس؟
295,ما طريقة تحضير المسبّحة ؟,من طرق تحضير المسبّحة؟
296,ما هي مساحة صربيا الإجمالية؟,ما هي المساحة الإجمالية لسان مارينو؟
297,كيف احضر ستيك لحم بالصوص المشروم؟,من طرق تحضير اللحم؟
298,ما هي أهمية الفيسبوك؟,ما هو الفيسبوك؟
299,من طرق تحضير حساء القلقاس؟,من طرق تحضير حساء  ؟
300,كيف تكون قوة التركيز صفة للشخصية القوية؟,ماذا تعني قوة التركيز؟
301,من طرق الاهتمام بذوي الاحتياجات الخاصة ؟,ماذا نعني بذوو الاحتياجات الخاصّة؟
302,ما هي نسبة الأيطالييون في أستراليا؟,أين تقع أستراليا؟
303,ما دور الخميرة في التخلص من دهون الوجه؟,كيف تعمل الخميرة على التخلص من دهون الوجه؟
304,ما هي الاعشاب لعلاج السعال؟,ما هي الاعشاب الطبية؟
305,ما تعريف الباستا فلورا؟,كيف احضر  كيكة البستا فلورا؟
306,كيف احدد ايام التبوييض؟,كيف احدد ايام الإباضة؟
307,ما هي لغة الوطن العربي الرسمية؟,ما هي اللغة الرسمية للوطن العربي؟
308,ما الفرق بين قواعد البيانات ونظام الملفات؟,ما مميزات قواعد البيانات؟
